Q1A	Q1I	Q1E	Q2A	Q2I	Q2E	Q3A	Q3I	Q3E	Q4A	Q4I	Q4E	Q5A	Q5I	Q5E	Q6A	Q6I	Q6E	Q7A	Q7I	Q7E	Q8A	Q8I	Q8E	Q9A	Q9I	Q9E	Q10A	Q10I	Q10E	Q11A	Q11I	Q11E	Q12A	Q12I	Q12E	Q13A	Q13I	Q13E	Q14A	Q14I	Q14E	Q15A	Q15I	Q15E	Q16A	Q16I	Q16E	Q17A	Q17I	Q17E	Q18A	Q18I	Q18E	Q19A	Q19I	Q19E	country	introelapse	testelapse	surveyelapse	TIPI1	TIPI2	TIPI3	TIPI4	TIPI5	TIPI6	TIPI7	TIPI8	TIPI9	TIPI10	VCL1	VCL2	VCL3	VCL4	VCL5	VCL6	VCL7	VCL8	VCL9	VCL10	VCL11	VCL12	VCL13	VCL14	VCL15	VCL16	education	urban	gender	engnat	age	screenw	screenh	hand	religion	orientation	race	voted	married	familysize	major
4	18	4225	1	6	3880	5	4	4379	5	15	4465	5	1	21233	2	13	7626	4	19	6974	3	7	4990	5	5	3940	5	2	5829	3	17	7224	4	16	4283	2	8	7256	3	12	3417	5	11	3839	2	10	8355	5	3	3817	1	14	5461	2	9	5474	US	5	117	68	2	3	3	3	4	6	4	4	4	3	1	1	0	1	1	0	0	1	0	1	0	0	1	1	1	1	3	2	1	1	24	1920	1080	1	6	1	11	2	1	2	Computer Science
4	7	5552	4	13	5640	4	8	5908	5	4	10452	4	17	5316	2	2	6547	5	19	7251	2	10	8721	2	12	7133	2	3	6286	4	18	6161	4	16	6459	4	6	9824	2	5	13002	2	11	6332	4	15	8255	4	1	5959	4	14	5373	5	9	13214	NZ	21	200	272	2	5	7	3	6	6	5	1	6	1	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	2	3	2	1	66	360	640	2	6	1	16	2	3	5	
3	4	5210	3	6	14176	4	15	7630	2	17	7912	2	13	5607	3	11	2761	3	7	12606	2	16	5349	3	19	3756	3	8	5288	4	10	4836	3	5	4741	3	1	6196	4	14	6424	4	18	4172	3	9	4337	3	3	4820	2	2	4772	2	12	4634	GR	14	118	105	1	5	3	6	5	6	3	5	3	5	1	1	1	1	0	0	0	1	0	1	0	1	0	1	1	1	2	2	2	2	17	1280	1024	1	2	1	16	2	1	4	
4	1	6725	2	17	4725	4	16	4287	4	5	6896	1	4	1666	4	6	5613	5	18	6311	5	7	5514	5	15	4297	5	11	5748	4	3	3013	4	8	7436	2	10	8326	5	12	2880	5	9	6210	5	2	9969	5	13	8978	4	14	7909	2	19	7999	SN	762	144	136	7	1	5	2	7	3	7	5	6	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	2	2	2	1	23	1920	1080	2	2	1	16	2	1	3	dietetics
4	4	7551	1	13	4389	5	18	3766	1	7	4764	1	10	4019	1	5	2822	5	17	5002	5	1	7506	5	11	3191	2	3	5754	1	16	3549	2	8	4028	5	9	5928	5	2	5756	5	19	2561	4	15	4196	2	14	4074	4	6	1563	2	12	6406	US	1118	103	111	2	6	1	7	7	7	7	7	1	1	1	1	0	1	1	0	0	0	0	1	0	0	1	1	1	1	2	1	2	1	19	1093	615	1	1	1	16	2	1	2	
1	1	6211	1	19	5184	2	7	6768	1	12	7715	5	8	6106	1	16	4098	5	18	14184	1	11	11101	5	15	4634	3	14	6069	2	10	14600	4	9	6675	4	13	8449	4	17	12436	5	4	5634	4	3	9033	3	5	5783	1	2	6700	1	6	10000	US	71	152	381	2	2	1	4	7	3	6	7	3	1	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	4	3	2	1	40	320	568	1	7	2	16	2	3	3	Philosophy 
4	19	4367	1	11	5207	1	10	5312	4	18	9474	4	8	8157	1	17	4632	2	15	7603	3	9	9465	4	2	6529	5	13	4794	4	5	6543	4	16	8832	1	6	9577	5	3	6140	4	4	7447	5	1	7875	4	7	8379	2	12	6061	5	14	5584	GB	12	156	161	6	5	7	4	6	5	4	1	4	5	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	4	1	1	1	50	1920	1080	1	6	1	16	1	2	3	engineering
1	16	6449	3	4	5897	4	11	5631	4	17	8366	3	6	5247	1	18	4242	1	19	5569	4	14	5077	5	8	3716	4	12	4448	2	7	4498	3	13	5119	4	10	5082	3	1	9463	4	5	4334	4	2	10495	4	9	4758	4	3	5485	2	15	103313	US	10	208	205	1	4	5	7	6	7	6	5	3	4	1	1	0	1	1	0	0	0	0	1	0	1	1	1	1	1	2	2	3	1	21	1366	768	3	4	5	17	2	1	1	Digital Media
4	1	3813	3	9	5307	4	18	11104	4	15	3635	4	19	3613	3	17	3473	4	8	3161	4	10	4917	4	3	3871	3	11	4093	3	4	2784	5	2	3099	4	5	3999	4	12	2441	4	16	2821	4	6	751202	4	13	5465	4	14	2651	3	7	3689	US	2	826	84	2	5	3	6	5	7	4	5	4	3	1	0	0	1	1	0	0	0	0	1	0	0	1	1	1	1	1	3	2	1	16	414	736	3	1	2	16	2	1	3	
4	4	5030	4	18	8174	4	3	8224	4	13	6434	3	5	6701	4	8	4976	3	14	9514	5	16	8412	2	2	10001	5	15	6896	4	9	5344	1	6	9200	1	1	6309	2	11	5612	3	10	6783	4	17	10339	4	19	6481	4	12	5835	5	7	9347	US	7	140	158	5	5	4	2	7	4	5	1	3	3	1	1	0	1	1	0	1	0	1	1	0	0	0	1	1	1	2	2	1	1	27	1366	768	1	2	1	16	1	2	2	
2	5	7372	2	4	4264	3	8	14336	4	17	3719	3	18	4899	1	7	9965	2	9	8761	1	12	4252	2	3	1299	2	2	5279	2	11	4732	1	6	5178	2	13	5079	2	16	7583	4	15	5910	4	19	2851	2	1	8016	4	14	5745	4	10	6075	GB	8	116	128	3	2	6	1	5	6	5	2	6	5	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	3	1	2	1	64	768	1024	1	2	1	16	2	3	2	Psychology
2	12	6780	5	7	4274	5	10	4324	4	4	26661	5	14	6546	4	15	8306	5	19	16097	4	9	32846	4	3	34777	5	5	4415	1	2	41530	5	11	4193	4	8	3865	5	17	5552	4	13	8812	4	6	8199	4	16	12836	5	18	17703	4	1	14318	US	7	262	110	7	5	7	3	6	3	7	5	6	5	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1	3	1	1	15	1366	768	2	1	1	16	2	1	2	
1	2	4830	5	13	2757	1	5	3818	1	1	4497	3	14	4799	4	7	3201	5	6	3950	5	12	2742	4	15	3468	2	17	4119	4	11	2785	5	18	3749	2	19	3252	4	9	3959	5	8	5783	4	4	4319	4	3	4975	1	10	3895	4	16	3736	US	18	75	182	2	5	5	1	2	5	1	5	6	3	1	1	1	1	1	0	0	0	0	1	0	0	1	1	1	1	2	3	2	1	42	1536	864	1	2	1	16	2	2	1	
3	17	4817	2	7	4282	4	1	8725	4	18	3544	4	15	3314	2	9	3200	4	6	3407	4	19	2575	4	16	2982	5	12	4112	3	8	4129	3	3	3396	4	10	4777	3	13	12944	4	14	5394	4	2	6041	4	11	4056	2	4	3097	4	5	4416	GB	19	90	126	5	5	5	7	2	2	5	4	3	6	1	1	0	1	1	0	0	0	0	1	0	0	0	1	1	1	2	3	2	1	19	1280	720	1	1	2	16	1	1	2	psychology
1	13	3925	1	3	4181	4	8	6513	4	6	6292	4	16	5053	1	17	2846	4	11	9835	4	2	7331	5	9	3756	4	12	6540	4	10	3470	5	4	6099	4	5	7065	4	19	3276	5	18	3202	3	15	7083	3	14	6410	2	1	3976	2	7	4221	US	1758	101	111	3	5	2	5	7	5	5	5	3	3	1	1	1	1	1	1	0	1	0	1	0	0	1	1	1	1	2	2	2	1	17	1600	900	2	6	3	16	2	1	5	
4	1	5508	2	13	6545	4	17	14924	2	4	6511	4	19	8741	4	6	9176	4	12	10749	4	11	13196	2	3	7967	4	15	8936	4	9	5229	3	7	10233	2	10	7151	1	2	7516	3	16	6525	4	5	16989	5	8	8248	4	14	6431	3	18	10056	FI	28	172	206	7	7	4	1	7	2	3	6	7	2	1	1	0	1	1	0	0	0	0	1	1	0	1	1	1	1	2	2	1	2	18	360	640	1	12	1	17	2	1	5	
3	2	69152	1	19	4206	2	18	8861	5	13	11321	4	8	6101	2	7	3717	4	16	10286	4	11	5403	5	12	2545	2	17	3083	3	3	9053	4	4	8956	4	5	6262	5	15	5572	5	14	3062	4	9	6592	2	1	11408	4	6	4539	3	10	14056	US	8	194	80	2	6	5	7	3	6	4	2	2	2	1	1	1	1	1	0	1	1	0	1	1	0	1	1	1	1	3	2	1	1	25	1493	933	1	1	5	16	1	1	1	philosophy
1	11	3332	1	8	7412	4	14	5922	1	9	11048	1	16	5394	1	18	3657	4	6	4772	1	15	4056	4	4	1065	4	19	5548	1	17	5924	1	7	4608	1	5	2826	1	1	3119	2	10	5328	5	2	4119	4	12	810	4	13	4510	4	3	1573	US	1	116	88	6	5	3	5	7	6	7	5	5	1	1	1	1	1	1	0	0	1	0	1	0	0	1	1	1	1	2	1	2	1	22	1440	900	1	1	2	16	2	1	1	English
1	7	9304	1	11	5008	1	9	7488	3	19	6352	5	15	5078	3	2	10449	4	17	11214	1	6	6402	5	16	5102	4	3	15893	2	13	7177	3	8	8605	4	14	8184	2	12	14802	5	1	6211	2	10	9763	4	18	8522	1	5	6225	3	4	12342	NO	384	165	86	4	5	4	1	6	5	4	4	7	2	1	0	1	1	1	0	1	0	0	1	1	0	1	1	1	1	4	3	1	1	38	2560	1440	1	1	1	16	2	1	1	Oceanography
